	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
274	Kununurra	90	AU	1554771600	66	-15.77	128.74	86.0	16.11
275	Ostrovnoy	64	RU	1554773595	85	68.05	39.51	21.52	8.32
276	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
277	Pangnirtung	68	CA	1554773605	92	66.15	-65.72	12.16	7.36
278	Samarai	92	PG	1554773635	99	-10.62	150.67	82.99	10.6
279	Talnakh	76	RU	1554773635	95	69.49	88.39	16.21	9.33
280	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
281	Vestmannaeyjar	32	IS	1554773636	89	63.44	-20.27	40.78	17.83
282	Ilulissat	0	GL	1554771000	48	69.22	-51.1	39.2	18.34
283	Karratha	24	AU	1554773332	61	-20.74	116.85	83.32	6.24
284	Takehara	0	JP	1554771600	39	34.35	132.9	59.0	8.05
285	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
286	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
287	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
288	Kurchum	0	KZ	1554773637	65	48.57	83.65	43.3	15.7
289	Carnarvon	0	ZA	1554773586	81	-30.97	22.13	53.83	8.32
290	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
291	Nemuro	75	JP	1554771600	69	43.32	145.57	39.2	9.17
292	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
293	Lompoc	1	US	1554773564	68	34.64	-120.46	77.0	13.87
294	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
295	Ormara	8	PK	1554773638	93	25.21	64.64	77.68	7.43
296	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
297	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
298	Sibolga	8	ID	1554773476	89	1.74	98.78	78.49	1.72
299	Cockburn Town	24	TC	1554773413	97	21.46	-71.14	78.76	17.65
300	Walvis Bay	8	NA	1554771731	93	-22.95	14.51	55.0	3.36
301	Karratha	24	AU	1554773332	61	-20.74	116.85	83.32	6.24
302	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
303	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
304	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
305	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
306	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
307	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
308	Sao Felix Do Xingu	92	BR	1554773394	100	-6.64	-51.99	74.14	2.33
309	Lompoc	1	US	1554773564	68	34.64	-120.46	77.0	13.87
310	Markala	0	ML	1554773644	50	13.69	-6.07	69.13	3.85
311	Banda Aceh	32	ID	1554773645	93	5.56	95.32	82.9	2.62
312	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
313	Fortuna	20	ES	1554773617	55	38.18	-1.13	60.8	16.11
314	Ahipara	0	NZ	1554773646	70	-35.17	173.16	68.23	8.59
315	Puerto Ayora	20	EC	1554773479	78	-0.74	-90.35	82.4	10.29
316	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
317	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
318	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
319	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
320	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
321	Girau Do Ponciano	24	BR	1554773647	92	-9.88	-36.83	73.27	4.52
322	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
323	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
324	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
325	Nikolskoye	90	RU	1554773436	93	59.7	30.79	35.6	4.47
326	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
327	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
328	Tomatlan	0	MX	1554773648	83	19.93	-105.25	66.61	2.77
329	Suez	0	EG	1554773649	93	29.97	32.54	56.26	3.29
330	Tasiilaq	92	GL	1554771000	55	65.61	-37.64	33.8	21.92
331	Airai	0	TL	1554773649	60	-8.93	125.41	84.52	1.61
332	Pevek	8	RU	1554773596	91	69.7	170.27	5.32	3.11
333	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
334	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
335	Sumbe	76	AO	1554773650	100	-11.2	13.84	79.03	4.63
336	Lavrentiya	64	RU	1554773626	99	65.58	-170.99	17.74	29.24
337	Biak	44	ID	1554773650	87	-0.91	122.88	83.89	3.29
338	Nome	1	US	1554773532	68	30.04	-94.42	75.0	8.81
339	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
340	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
341	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
342	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
343	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
344	Hasaki	20	JP	1554773427	50	35.73	140.83	55.4	10.29
345	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
346	Aklavik	90	CA	1554771600	65	68.22	-135.01	6.8	6.93
347	Waipawa	0	NZ	1554773416	56	-39.94	176.59	68.0	1.99
348	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
349	Bintulu	75	MY	1554771600	83	3.17	113.03	84.2	4.7
350	Lebedyan	12	RU	1554773653	86	53.01	39.13	32.77	3.33
351	Mpika	48	ZM	1554773653	89	-11.84	31.4	61.48	4.12
352	Kleive	44	NO	1554773510	100	62.8	7.64	33.8	8.05
353	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
354	Hithadhoo	80	MV	1554773654	100	-0.6	73.08	82.99	0.6
355	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
356	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
357	Cabo San Lucas	5	MX	1554773502	32	22.89	-109.91	82.4	11.41
358	Sola	0	NO	1554773541	100	58.89	5.65	37.99	4.7
359	Lorengau	76	PG	1554773602	100	-2.02	147.27	79.84	3.33
360	Tiksi	64	RU	1554773584	81	71.64	128.87	31.69	9.37
361	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
362	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
363	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
364	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
365	Sitamau	0	IN	1554773656	32	24.01	75.35	84.16	12.46
366	Geraldton	90	CA	1554771600	80	49.72	-86.95	30.2	6.93
367	Quatre Cocos	75	MU	1554773638	78	-20.21	57.76	80.6	10.29
368	Baghdad	90	IQ	1554771600	77	33.3	44.38	64.4	5.82
369	Belaya Gora	48	RU	1554773658	100	68.54	146.19	24.49	3.85
370	Oistins	40	BB	1554771600	73	13.07	-59.53	77.0	14.99
371	Narsaq	0	GL	1554773644	78	60.91	-46.05	30.61	12.8
372	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
373	Dharchula	0	IN	1554773658	73	29.85	80.53	41.5	1.72
374	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
375	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
376	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
377	Margate	20	AU	1554773420	95	-43.03	147.26	55.99	14.99
378	Yinchuan	12	CN	1554773659	43	38.48	106.21	53.83	4.74
379	Cape Girardeau	20	US	1554773412	73	37.31	-89.52	69.8	3.36
380	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
381	Saint George	75	GR	1554771000	93	39.45	22.34	51.8	4.7
382	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
383	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
384	Sokolo	0	ML	1554773661	30	14.74	-6.12	69.94	7.25
385	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
386	Sakaiminato	20	JP	1554773594	37	35.55	133.23	55.4	6.93
387	Pilot Butte	20	CA	1554773523	26	50.48	-104.42	55.4	12.75
388	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
389	Tuatapere	0	NZ	1554773407	55	-46.13	167.69	75.0	1.99
390	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
391	Pacific Grove	20	US	1554773447	68	36.62	-121.92	72.0	11.41
392	Kamaishi	75	JP	1554771600	49	39.28	141.86	44.6	5.82
393	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
394	Lavrentiya	64	RU	1554773626	99	65.58	-170.99	17.74	29.24
395	Srednekolymsk	48	RU	1554773663	72	67.46	153.71	30.52	1.39
396	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
397	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
398	Husavik	88	CA	1554773418	88	50.56	-96.99	32.0	8.01
399	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
400	Quatre Cocos	75	MU	1554773638	78	-20.21	57.76	80.6	10.29
401	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
402	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
403	Manuk Mangkaw	56	PH	1554773665	100	4.8	119.85	83.26	1.05
404	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
405	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
406	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
407	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
408	Provideniya	75	RU	1554771600	62	64.42	-173.23	19.4	15.66
409	Bintulu	75	MY	1554771600	83	3.17	113.03	84.2	4.7
410	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
411	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
412	Alofi	75	NU	1554771600	79	-19.06	-169.92	86.0	5.82
413	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
414	Rosetta	0	EG	1554771600	82	31.4	30.42	64.4	13.87
415	Esperance	20	TT	1554773503	78	10.24	-61.45	77.0	3.36
416	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
417	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
418	Muros	75	ES	1554773657	93	42.77	-9.06	53.01	11.41
419	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
420	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
421	San-Pedro	0	CI	1554773669	97	4.75	-6.64	75.52	4.79
422	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
423	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
424	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
425	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
426	Roald	20	NO	1554773510	74	62.58	6.12	35.6	14.99
427	Caohe	24	CN	1554773614	68	32.93	105.08	70.0	2.21
428	El Alto	0	BO	1554771600	64	-16.5	-68.19	39.2	6.93
429	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
430	Honavar	0	IN	1554773671	89	14.28	74.45	82.09	1.72
431	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
432	Frontera	75	MX	1554770580	69	18.53	-92.64	80.6	8.05
433	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
434	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
435	Armizonskoye	44	RU	1554773672	80	55.95	67.67	40.78	3.89
436	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
437	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
438	Lorengau	76	PG	1554773602	100	-2.02	147.27	79.84	3.33
439	Wakema	0	MM	1554773673	56	16.6	95.18	89.65	6.76
440	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
441	Kirakira	56	SB	1554773630	100	-10.46	161.92	83.44	5.01
442	Ulaangom	0	MN	1554773673	66	49.98	92.07	26.11	2.33
443	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
444	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
445	Vardo	75	US	1554773346	72	39.62	-77.74	66.99	6.93
446	Itaquyry	0	PY	1554773674	94	-24.93	-55.22	65.71	3.22
447	Shingu	40	JP	1554771600	35	33.72	135.99	57.2	10.29
448	Cidreira	0	BR	1554773674	90	-30.17	-50.22	60.22	4.9
449	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
450	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
451	Gold Coast	0	AU	1554773604	57	-28.0	153.41	84.99	14.99
452	Yulara	32	AU	1554771600	22	-25.24	130.99	86.0	10.29
453	Kodiak	1	US	1554773506	49	39.95	-94.76	71.6	3.36
454	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
455	Makakilo City	20	US	1554773627	58	21.35	-158.09	82.4	10.29
456	Carnarvon	0	ZA	1554773586	81	-30.97	22.13	53.83	8.32
457	Kaduqli	0	SD	1554773504	73	11.01	29.72	70.75	4.9
458	Marawi	64	PH	1554773456	86	8.0	124.29	82.0	5.01
459	Kropotkin	0	RU	1554773676	92	45.43	40.58	49.06	12.68
460	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
461	Port Hardy	75	CA	1554771600	62	50.7	-127.42	51.8	19.46
462	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
463	Kapaa	40	US	1554773606	61	22.08	-159.32	80.6	10.29
464	Severobaykalsk	68	RU	1554773677	76	55.65	109.32	25.75	2.39
465	Vila Franca Do Campo	75	PT	1554773644	67	37.72	-25.43	57.2	6.93
466	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
467	Grafton	48	AU	1554773597	54	-29.69	152.93	86.0	8.05
468	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
469	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
470	Tuatapere	0	NZ	1554773407	55	-46.13	167.69	75.0	1.99
471	Bathsheba	40	BB	1554771600	73	13.22	-59.52	77.0	14.99
472	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
473	Chokurdakh	24	RU	1554773578	100	70.62	147.9	18.55	10.6
474	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
475	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
476	Uribia	8	CO	1554773681	66	11.71	-72.27	78.58	16.98
477	Ambon	90	FR	1554773601	100	47.55	-2.56	42.01	4.41
478	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
479	Norman Wells	75	CA	1554768000	56	65.28	-126.83	41.0	8.05
480	Realeza	0	BR	1554773607	87	-25.77	-53.53	65.08	6.02
481	Kodiak	1	US	1554773506	49	39.95	-94.76	71.6	3.36
482	Taoudenni	0	ML	1554773682	35	22.68	-3.98	54.46	2.62
483	Maine-Soroa	0	NE	1554773682	42	13.21	12.02	74.08	6.02
484	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
485	Progreso	0	UY	1554773477	82	-34.68	-56.22	69.01	8.88
486	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
487	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
488	Mar Del Plata	64	AR	1554773626	75	-46.43	-67.52	58.24	7.02
489	Pevek	8	RU	1554773596	91	69.7	170.27	5.32	3.11
490	Port Elizabeth	75	US	1554773646	60	39.31	-74.98	73.99	6.93
491	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
492	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
493	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
494	Khatanga	76	RU	1554773613	91	71.98	102.47	9.01	13.35
495	Talnakh	76	RU	1554773635	95	69.49	88.39	16.21	9.33
496	Husavik	88	CA	1554773418	88	50.56	-96.99	32.0	8.01
497	Puerto Leguizamo	68	CO	1554773685	93	-0.19	-74.78	74.35	2.28
498	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
499	Lajkovac	0	RS	1554771600	71	44.37	20.17	51.8	2.24
500	Morros	40	BR	1554771600	88	-2.87	-44.04	78.8	10.29
501	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
502	Klaksvik	92	FO	1554771000	65	62.23	-6.59	41.0	12.75
503	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
504	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
505	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
506	Kapaa	40	US	1554773606	61	22.08	-159.32	80.6	10.29
507	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
508	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
509	Teya	40	MX	1554773477	78	21.05	-89.07	82.4	16.11
510	Chumikan	0	RU	1554773687	60	54.72	135.31	38.98	4.52
511	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
512	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
513	College	20	US	1554773614	37	64.86	-147.8	54.0	3.4
514	Carire	44	BR	1554773688	97	-3.95	-40.47	71.29	1.61
515	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
516	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
517	Shimoda	20	JP	1554773412	100	34.7	138.93	63.0	5.82
518	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
519	Kirakira	56	SB	1554773630	100	-10.46	161.92	83.44	5.01
520	Constitucion	5	MX	1554770520	7	23.99	-104.67	73.4	5.82
521	Longyearbyen	75	NO	1554769200	85	78.22	15.63	14.0	6.93
522	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
523	Barra Do Garcas	44	BR	1554773690	92	-15.89	-52.26	72.01	4.85
524	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
525	Las Choapas	75	MX	1554770880	69	17.91	-94.09	82.4	25.28
526	Bethel	90	US	1554771360	86	60.79	-161.76	39.2	11.41
527	Nikolskoye	90	RU	1554773436	93	59.7	30.79	35.6	4.47
528	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
529	Saskylakh	44	RU	1554773582	86	71.97	114.09	8.38	10.6
530	Padang	20	ID	1554771600	78	-0.92	100.36	82.4	2.24
531	Ulladulla	0	AU	1554773507	29	-35.36	150.48	78.01	17.22
532	Saskylakh	44	RU	1554773582	86	71.97	114.09	8.38	10.6
533	Ostrovnoy	64	RU	1554773595	85	68.05	39.51	21.52	8.32
534	Salinas	1	US	1554773461	64	36.67	-121.66	72.0	10.29
535	Torbay	20	CA	1554773608	68	47.66	-52.73	28.0	23.04
536	Mahebourg	75	MU	1554773638	78	-20.41	57.7	80.6	10.29
537	Kamenka	80	RU	1554773693	94	53.19	44.05	33.76	7.81
538	Oppdal	8	NO	1554773694	84	62.6	9.69	4.42	2.55
539	Hithadhoo	80	MV	1554773654	100	-0.6	73.08	82.99	0.6
540	Faanui	68	PF	1554773615	100	-16.48	-151.75	84.52	14.07
541	Hithadhoo	80	MV	1554773654	100	-0.6	73.08	82.99	0.6
542	Riviere-Au-Renard	75	CA	1554771600	67	49.0	-64.4	17.6	2.24
543	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
544	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
545	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
